Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_time_s,Latency_ms
XGBoost,0.804161013116237,0.7754279959718026,0.7857142857142857,0.7805372529143436,0.8927108373812562,0.72,0.0007
Decision Tree,0.7996381727725012,0.7811518324607329,0.7612244897959184,0.7710594315245478,0.8876195726056467,0.03,0.0002
Random Forest,0.7946630483943917,0.7635270541082164,0.7775510204081633,0.7704752275025278,0.8887676354050962,0.49,0.0123
SVM (RBF),0.7946630483943917,0.7667342799188641,0.7714285714285715,0.7690742624618515,0.8464932276728727,5.5,0.115
Logistic Regression,0.74400723654455,0.7029411764705882,0.7316326530612245,0.717,0.8173162685057777,0.05,0.0002
