Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_time_s,Latency_ms
Random Forest,0.9769335142469471,0.9803516028955532,0.9673469387755103,0.9738058551617874,0.9963726189094646,0.77,0.0124
XGBoost,0.9769335142469471,0.9813471502590674,0.9663265306122449,0.9737789203084833,0.9968376465127073,0.89,0.001
Decision Tree,0.9692446856625961,0.9720496894409938,0.9581632653061225,0.9650565262076053,0.9764311410998193,1.0,0.0003
SVM (RBF),0.9687924016282226,0.9710444674250258,0.9581632653061225,0.9645608628659477,0.9937092789999835,2.5,0.0432
Logistic Regression,0.9262777023971054,0.9322751322751323,0.8989795918367347,0.9153246753246753,0.9782601667799534,1.56,0.0004
