Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_time_s,Latency_ms
SVM (RBF),0.74400723654455,0.6848214285714286,0.7826530612244897,0.7304761904761905,0.7789282813043983,5.1,0.1174
XGBoost,0.7426503844414292,0.6826666666666666,0.7836734693877551,0.7296912114014252,0.8353988792917655,0.69,0.0006
Random Forest,0.7421981004070556,0.6836917562724014,0.7785714285714286,0.7280534351145038,0.8336995805633383,0.45,0.0115
Decision Tree,0.7426503844414292,0.6863100634632819,0.7724489795918368,0.7268362938070091,0.834342412838409,0.03,0.0002
Logistic Regression,0.710085933966531,0.682062298603652,0.6479591836734694,0.6645735217163788,0.7833580629652349,0.04,0.0002
