Model,Accuracy,Precision,Recall,F1,ROC_AUC,Train_time_s,Latency_ms
Random Forest,0.9769335142469471,0.9803516028955532,0.9673469387755103,0.9738058551617874,0.9963726189094646,0.67,0.0123
XGBoost,0.9769335142469471,0.9813471502590674,0.9663265306122449,0.9737789203084833,0.9968376465127073,0.88,0.0009
Decision Tree,0.9696969696969697,0.9760166840458812,0.9551020408163265,0.9654461062403301,0.9764311410998193,0.89,0.0003
SVM (RBF),0.9678878335594754,0.9719626168224299,0.9551020408163265,0.9634585692228512,0.9937092789999835,2.48,0.0445
Logistic Regression,0.9262777023971054,0.9322751322751323,0.8989795918367347,0.9153246753246753,0.9782601667799534,1.31,0.0003
